fare_type,applicable_time,distance,fare_per_ride
Persons with diabilities card fare,All other timings,17.3 km - 18.2 km,103
Persons with diabilities card fare,All other timings,18.3 km - 19.2 km,103
Persons with diabilities card fare,All other timings,19.3 km - 20.2 km,103
Persons with diabilities card fare,All other timings,20.3 km - 21.2 km,103
Persons with diabilities card fare,All other timings,21.3 km - 22.2 km,103
Persons with diabilities card fare,All other timings,22.3 km - 23.2 km,103
Persons with diabilities card fare,All other timings,23.3 km - 24.2 km,103
Persons with diabilities card fare,All other timings,24.3 km - 25.2 km,103
Persons with diabilities card fare,All other timings,25.3 km - 26.2 km,103
Persons with diabilities card fare,All other timings,26.3 km - 27.2 km,103
Persons with diabilities card fare,All other timings,27.3 km - 28.2 km,103
Persons with diabilities card fare,All other timings,28.3 km - 29.2 km,103
Persons with diabilities card fare,All other timings,29.3 km - 30.2 km,103
Persons with diabilities card fare,All other timings,30.3 km - 31.2 km,103
Persons with diabilities card fare,All other timings,31.3 km - 32.2 km,103
Persons with diabilities card fare,All other timings,32.3 km - 33.2 km,103
Persons with diabilities card fare,All other timings,33.3 km - 34.2 km,103
Persons with diabilities card fare,All other timings,34.3 km - 35.2 km,103
Persons with diabilities card fare,All other timings,35.3 km - 36.2 km,103
Persons with diabilities card fare,All other timings,36.3 km - 37.2 km,103
Persons with diabilities card fare,All other timings,37.3 km - 38.2 km,103
Persons with diabilities card fare,All other timings,38.3 km - 39.2 km,103
Persons with diabilities card fare,All other timings,39.3 km - 40.2 km,103
Persons with diabilities card fare,All other timings,Over 40.2 km,103
